No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
642,10000,116.08,5.78,1000.0,0.87,12.7,1969,1985,-9999.0,MY,AS,Papar
643,10000,-38.87,-6.41,12000.0,0.875,36.3,1957,1996,160.0,BR,SA,Salgado
644,10000,-35.05,-7.13,19244.0,0.8590000000000001,25.8,1970,1997,18.0,BR,SA,Paraiba
645,10000,-90.09,13.84,1991.0,0.847,15.8,1965,1981,30.0,SV,CA,Paz
646,10000,-40.82,-3.12,3720.0,1.214,37.3,1911,1993,9.0,BR,SA,Coreau
647,10000,136.87,35.2,705.0,0.843,29.0,1969,1997,-9999.0,JP,AS,Shonai
648,10000,172.59,-41.79,368.0,0.84,53.4,1934,1990,-9999.0,NZ,PO,Gowan
649,10000,127.42,36.38,612.0,0.8390000000000001,33.0,1962,1994,-9999.0,KR,AS,Gap
632,10000,100.45,6.22,1274.0,0.9179999999999999,13.8,1946,1960,6.0,MY,AS,Padang
650,10000,-79.28,-7.28,2500.0,0.841,62.0,1927,1988,200.0,PE,SA,Jequetepeque
652,10000,-71.08,43.98,997.1,0.8320000000000001,73.0,1903,1995,127.5,US,,Saco
631,10000,20.28,40.78,1880.0,0.934,10.5,1976,2000,295.0,AL,EU,Devolli
653,10000,-40.49,-20.42,1690.0,0.8270000000000001,27.6,1968,1999,40.0,BR,SA,Jucu
654,10000,-39.27,-14.8,3964.0,0.823,8.3,1935,1943,55.0,BR,SA,Cachoeira
655,10000,-48.92,-27.1,1240.0,0.809,60.4,1934,1999,35.0,BR,SA,Itajai-Mirim
656,10000,147.6,-20.58,7200.0,0.816,37.7,1960,1998,83.0,QX,AU,Bowen
657,10000,145.98,-17.62,390.0,0.807,79.8,1916,1996,-9999.0,QX,AU,South
658,10000,0.27,36.03,43750.0,0.8079999999999999,2.7,1976,1978,2.0,DZ,AF,Chelif
651,10000,-103.95,18.95,9744.0,0.831,6.0,1976,1981,38.0,MX,,Armer\xeda
706,10000,-48.71,-27.69,522.0,0.616,11.3,1988,1999,-9999.0,BR,SA,Cubatao
672,10000,-51.46,3.04,900.0,0.73,2.5,1997,1999,-9999.0,BR,SA,Varador
713,10000,150.0,-35.17,2770.0,0.5920000000000001,66.0,1910,1975,-9999.0,NX,AU,Shoalhaven
702,10000,115.62,-34.07,20400.0,0.65,44.6,1955,1999,42.5,WX,AU,Blackwood
703,10000,-3.98,51.0,826.0,0.627,9.0,1980,1999,14.1,UK,EU,Taw
704,10000,121.3,23.42,249.0,0.626,35.0,1959,1993,-9999.0,TW,AS,Hsiu-Ku-Luan
705,10000,-3.33,51.6,455.0,0.616,28.5,1970,1999,-9999.0,UK,EU,Taff
629,10000,24.48,57.85,3265.0,0.943,59.0,1926,1985,17.0,LV,EU,Salatsa
