No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
569,10000,176.42,-39.53,1030.0,1.204,24.9,1960,1988,-9999.0,NZ,PO,Ngaruroro
570,10000,-139.57,69.32,5710.0,1.197,23.5,1972,2001,-9999.0,CA,,Firth
571,10000,100.67,5.2,689.0,1.19,10.3,1961,1972,10.0,MY,AS,Krian
572,10000,-88.41,13.28,2238.0,1.176,12.0,1969,1981,7.0,SV,CA,Grande
573,10000,103.75,1.78,1130.0,1.169,36.7,1963,1999,10.0,MY,AS,Johor
574,10000,-52.9,-31.87,2371.0,1.158,7.3,1965,1976,37.0,BR,SA,Basilio
575,10000,120.8,24.3,599.0,1.158,21.0,1973,1993,-9999.0,TW,AS,Ta-An
576,10000,-51.74,0.41,1220.0,1.157,6.7,1989,1996,-9999.0,BR,SA,Vila
577,10000,-105.13,20.92,9329.0,1.138,2.0,1976,1977,70.0,MX,,Ameca
556,10000,130.75,32.66,519.0,1.281,5.0,1962,1996,-9999.0,JP,AS,Midori
554,10000,-108.02,25.9,8179.0,1.294,35.9,1942,1983,120.0,MX,,Sinaloa
627,10000,-130.07,56.03,243.0,0.95,10.2,1963,1973,89.9,AK,,Salmon
553,10000,-39.12,-13.6,2830.0,1.311,41.0,1957,1999,6.0,BR,SA,Almas
532,10000,-148.76,69.09,5719.0,1.4709999999999999,8.1,1970,1978,304.8,AK,,Sagavanirktok
533,10000,135.88,34.75,1455.0,1.4680000000000002,5.0,1991,1995,34.9,JP,AS,Kizu
534,10000,110.23,-7.74,2008.0,1.4509999999999998,13.0,1973,1985,41.0,ID,AS,Progo
535,10000,-106.6,23.95,6166.0,1.436,6.0,1976,1981,100.0,MX,,Piaxtla
536,10000,-97.47,20.54,1600.0,1.415,4.0,1976,1979,50.0,MX,,Cazones
537,10000,80.87,6.34,1589.0,1.4180000000000001,25.0,1943,1967,-9999.0,LK,AS,Walawe
538,10000,128.3,35.31,2984.0,1.4080000000000001,34.0,1960,1993,-9999.0,KR,AS,Nam-KR
539,10000,21.85,63.13,4805.0,1.37,91.0,1911,2001,-9999.0,FI,EU,Kyr\xf6n
540,10000,26.72,56.9,6510.0,1.41,62.3,1923,1985,88.0,LV,EU,Aiviekste
541,10000,145.93,-43.15,686.0,1.402,38.3,1964,2002,-9999.0,TX,AU,Davey
542,10000,-1.94,54.95,2176.0,1.436,46.1,1956,2002,14.0,UK,EU,Tyne
543,10000,25.4,65.2,3845.0,1.4,74.5,1911,2001,-9999.0,FI,EU,Kiiminki
544,10000,-97.67,20.92,4341.0,1.506,2.8,1976,1979,20.0,MX,,Tuxpan
545,10000,-41.86,-21.64,3118.0,1.383,68.0,1931,1999,50.0,BR,SA,Dois
546,10000,33.08,68.85,3780.0,1.376,65.0,1928,1992,23.0,RU,EU,Kola
547,10000,6.9,43.75,1827.0,1.37,3.0,1978,1980,-9999.0,FR,EU,Var
548,10000,126.72,35.03,2000.0,1.3519999999999999,4.0,1976,1979,2.0,KR,AS,Yeong
549,10000,-85.95,13.5,5510.0,1.0590000000000002,25.6,1958,1995,-9999.0,NI,CA,Coco
550,10000,174.15,68.53,6810.0,1.331,22.5,1971,1995,-9999.0,RU,AS,Palyavaam
551,10000,130.57,32.92,907.0,1.327,11.8,1959,2000,-9999.0,JP,AS,Kikuchi
552,10000,-91.04,18.18,9628.0,1.3119999999999998,4.0,1976,1979,42.0,MX,,Candelaria
578,10000,132.18,69.53,10800.0,1.136,15.0,1979,1993,-9999.0,RU,AS,Omoloy
