m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
10000 46.97 -22.93 14160.0 7.615 16.2 1960 1978 -9999.0 MG AF Mananara IND
10000 -93.74 30.30 24162.0 7.540 75.0 1924 1999 1.2 US NA Sabine ATL
10000 125.58 -18.21 46530.0 7.116 44.8 1955 2000 110.9 WX AU Fitzroy-WX IND
10000 -77.63 36.46 21720.0 7.341 87.8 1912 1999 13.4 US NA Roanoke ATL
10000 11.83 45.10 11954.0 7.163 57.0 1922 1979 9.0 IT EU Adige (Etsch)
10000 103.05 5.13 3340.0 7.040 26.5 1961 1991 12.0 MY AS Trengganu IND
10000 12.48 41.90 16545.0 7.045 77.3 1921 1998 1.0 IT EU Tiber (Tevere)
10000 35.63 36.97 20466.0 7.022 13.3 1970 1983 13.0 TR AM Ceyhan MED
10000 -94.85 30.42 44512.0 7.003 75.4 1924 1999 7.9 US NA Trinity ATL
10000 -71.30 42.65 12005.0 6.891 76.3 1923 1999 1.6 US NA Merrimack ATL
10000 175.15 -39.77 6643.0 6.844 38.5 1951 1990 15.0 NZ PO Wanganui PAC
10000 -51.37 3.05 4018.0 6.811 6.3 1984 1994 -9999.0 BR SA Cacipore ATL
10000 -9.53 7.33 9760.0 6.735 3.0 1973 1975 -9999.0 LR AF St Paul
10000 -123.55 43.59 9539.0 6.700 94.0 1905 1999 27.6 US NA Umpqua PAC
10000 -124.10 40.49 8063.0 6.630 87.0 1910 1999 10.8 US NA Eel PAC
10000 81.10 7.92 7343.0 6.501 42.8 1942 1984 31.0 LK AS Mahaweli Ganga
10000 115.92 5.12 7718.0 6.464 11.7 1969 1985 -9999.0 MY AS Pedas PAC
10000 100.97 4.82 7770.0 7.016 39.3 1960 2000 45.0 MY AS Perak IND
10000 -82.93 29.96 20409.0 6.309 68.3 1931 1999 1.5 US NA Suwannee ATL
10000 -45.46 -3.66 34030.0 6.298 27.3 1972 1999 4.0 BR SA Pindare ATL
10000 -97.25 20.40 7172.0 6.255 4.0 1976 1979 32.0 MX NA Tecolutla ATL
10000 -1.63 5.17 22714.0 6.216 14.0 1965 1978 -9999.0 GH AF Pra ATL
10000 -77.55 37.56 17503.0 6.254 65.0 1934 1999 30.1 US NA James ATL
10000 -47.84 -24.38 5390.0 4.134 29.8 1937 1979 -9999.0 BR SA Juquia ATL
10000 -71.68 -33.98 13186.0 6.077 65.1 1917 1982 17.0 CL SA Rapel PAC
10000 -78.82 9.18 3612.0 6.035 11.0 1965 1975 -9999.0 PA CA Bayano ATL
10000 -16.42 65.83 7000.0 6.009 52.2 1939 1991 320.0 IS EU Jökulsá á
10000 112.20 -7.48 8650.0 5.815 33.0 1951 1983 -9999.0 ID AS Brantas PAC
10000 -76.64 53.65 10900.0 5.786 18.3 1960 1978 -9999.0 CA NA Sakami ATL
10000 -87.23 30.97 9886.0 5.683 65.0 1934 1999 8.6 US NA Escambia ATL
10000 -94.09 30.36 20593.0 5.668 80.9 1904 1999 2.5 US NA Neches ATL
10000 -3.39 56.52 4587.0 5.649 49.0 1952 2000 26.2 UK EU Tay ATL
10000 -8.42 52.80 11690.0 5.604 44.0 1934 1979 32.0 IE EU Shannon ATL
10000 -70.21 44.07 8451.0 5.525 71.0 1928 1999 33.3 US NA Androscoggin ATL
10000 79.88 6.95 2085.0 5.468 35.7 1925 1960 -9999.0 LK AS Kelani Ganga
10000 -7.45 5.87 13750.0 5.439 36.0 1955 1991 149.0 CI AF Cavally (Cavall
10000 137.21 36.70 2688.0 4.914 9.0 1986 2000 0.0 JP AS Jintsu PAC
10000 117.23 5.85 4000.0 5.425 13.5 1969 1984 -9999.0 MY AS Labuk PAC
10000 -97.62 16.28 17617.0 5.327 6.0 1976 1981 50.0 MX NA Atoyac (Verde)
10000 -124.06 42.58 10202.0 5.348 39.0 1960 1999 34.7 US NA Rogue PAC
10000 41.13 67.09 15200.0 5.305 37.2 1935 1977 -9999.0 RU EU Ponoy ARC
10000 -52.35 3.17 5920.0 5.271 6.0 1960 1965 -9999.0 GF SA Camopi ATL
10000 28.08 70.11 14005.0 5.274 88.0 1911 2000 -9999.0 NO EU Tana (Teno)
10000 120.60 15.90 2209.0 5.216 8.3 1969 1977 26.0 PH AS Agno PAC
10000 48.44 31.48 45882.0 5.246 25.8 1948 1985 30.0 IR AS Karkheh (Al
10000 76.75 10.17 5387.0 5.108 11.0 1968 1979 32.0 IN AS Periyar IND
10000 23.58 67.23 14408.0 5.035 65.0 1911 1975 -9999.0 SE EU Muonio ATL
10000 131.38 31.94 2126.0 4.859 9.0 1986 2000 -9999.0 JP AS Oyodo PAC
10000 39.67 -0.44 42217.0 4.944 55.0 1934 1994 137.0 KE AF Tana IND
10000 29.00 69.02 14600.0 4.944 12.0 1956 1967 -9999.0 RU EU Patsjoki ARC
10000 -13.73 13.47 42000.0 4.724 21.8 1970 1994 -9999.0 SN AF Gambie ATL
10000 127.13 41.53 18245.0 4.689 20.0 1965 1984 416.0 KP AS Amnok (Yalu)
10000 126.86 36.31 8261.0 4.692 4.0 1976 1979 1.0 KR AS Kum (Geum)
10000 146.11 -7.81 2410.0 4.680 7.3 1952 1984 46.0 PG PO Tauri PAC
10000 -78.47 0.87 4960.0 4.547 21.7 1964 1988 510.0 EC SA Mira PAC
10000 49.05 -13.20 3210.0 4.696 19.4 1963 1986 -9999.0 MG AF Mahavavy Nord
10000 -43.63 -22.82 1353.0 4.629 6.9 1963 1970 19.0 BR SA Guandu-2 ATL
10000 15.64 63.84 6432.0 4.603 67.0 1909 1975 -9999.0 SE EU Faxaelven ATL
10000 19.81 40.38 5420.0 4.601 20.0 1965 1984 64.0 AL EU Vjosa MED
10000 -2.75 5.12 15800.0 4.543 13.5 1965 1978 2.0 GH AF Tano ATL
10000 -82.33 8.42 1337.0 4.517 20.0 1965 1984 10.0 PA CA Chiriquí PAC
10000 -78.00 -9.00 15000.0 4.532 27.0 1938 1968 -9999.0 PE SA Santa PAC
10000 99.12 14.43 10880.0 4.431 37.0 1952 1989 -9999.0 TH AS Khwae Yai
10000 132.30 34.99 3807.0 4.804 9.0 1986 2000 -1.0 JP AS Gono PAC
10000 -78.82 34.83 12566.7 4.444 63.3 1937 2000 8.8 US NA Cape Fear
10000 -53.83 3.42 7650.0 4.504 15.6 1956 1983 -9999.0 GF SA Tampoc ATL
10000 134.20 34.05 2768.0 4.907 26.3 1959 2000 -9999.0 JP AS Yoshino PAC
10000 147.18 -9.05 1940.0 4.384 8.1 1954 1964 -9999.0 PG PO Vanapa PAC
10000 158.40 53.18 4750.0 4.278 54.5 1930 1987 7.0 RU AS Avacha PAC
10000 48.45 -13.68 2980.0 4.315 27.3 1953 1983 -9999.0 MG AF Sambirano IND
10000 -47.10 -1.56 6760.0 4.276 34.9 1965 1999 -9999.0 BR SA Guama ATL
10000 34.18 -19.02 15046.0 4.278 3.8 1976 1979 60.0 MZ AF Pungoe IND
10000 -78.72 49.95 10000.0 4.207 1.9 1968 1972 -9999.0 CA NA Harricana ATL
10000 -54.27 -2.78 17982.0 4.227 23.2 1970 1997 -9999.0 BR SA Curua-Una ATL
10000 68.73 66.03 15100.0 4.124 45.2 1953 1999 -9999.0 RU AS Poluy ARC
10000 -49.21 -3.51 3622.0 4.191 15.6 1982 1999 -9999.0 BR SA Moju ATL
10000 -64.95 -38.82 22300.0 4.155 82.5 1918 2000 122.0 AR SA Colorado-SA ATL
10000 -54.87 -1.50 20803.0 4.122 24.8 1973 1998 -9999.0 BR SA Curua ATL
10000 -121.26 37.68 35058.0 4.141 73.9 1923 1999 7.6 US NA San Joaquim
10000 173.96 -41.44 3430.0 4.104 23.0 1961 1983 -9999.0 NZ PO Wairau PAC
10000 118.75 39.72 44100.0 4.129 51.2 1929 1988 -9999.0 CN AS Luanhe PAC
10000 -51.60 0.97 3500.0 4.100 3.2 1979 1982 -9999.0 BR SA Falsino ATL
10000 -79.34 54.42 9560.0 4.057 7.4 1973 1982 -9999.0 CA NA Roggan ATL
10000 -50.63 -3.84 2682.0 4.098 15.1 1981 1999 -9999.0 BR SA Pacajas ATL
10000 138.23 36.62 2335.0 4.067 3.9 1959 1963 -9999.0 JP AS Sai PAC
10000 -94.05 67.52 18100.0 4.051 19.4 1971 1992 -9999.0 CA NA Hayes ARC
10000 74.75 15.25 1393.0 4.020 10.0 1968 1979 -9999.0 IN AS Kalinadi (Kali
10000 -43.90 -3.46 12350.0 3.993 26.8 1963 1999 5.0 BR SA Munim ATL
10000 121.65 14.74 879.0 3.964 5.0 1969 1974 7.0 PH AS Agus PAC
10000 -72.75 -40.57 3714.0 3.939 17.6 1942 1959 -9999.0 CL SA Pilmaiquen PAC
10000 -108.82 66.74 16800.0 4.121 26.3 1976 2004 -9999.0 CA NA Burnside ARC
10000 45.10 65.82 12000.0 3.875 61.8 1933 1994 12.0 RU EU Peza ARC
10000 95.30 22.54 12499.0 3.866 21.0 1946 1967 -9999.0 MM AS Mu IND
10000 16.53 62.43 11460.0 3.839 67.0 1909 1975 -9999.0 SE EU Ljungan ATL
10000 44.91 -19.14 1893.0 3.842 9.6 1971 1988 -9999.0 MG AF Manambolo IND
10000 120.75 23.83 2311.0 3.795 4.0 1965 1968 196.0 TW AS Cho-Shui PAC
10000 -123.31 46.94 3351.0 3.695 45.1 1952 1999 7.2 US NA Chehalis PAC
10000 -150.02 62.33 5180.0 3.593 37.3 1964 2001 121.9 US NA Talkeetna PAC
10000 99.14 9.14 5200.0 3.622 15.5 1969 1984 4.0 TH AS Tapi-TH PAC
10000 -54.40 -1.78 17072.0 3.605 25.3 1972 1998 -9999.0 BR SA Maicuru ATL
10000 -71.55 -36.57 1709.0 3.587 41.0 1948 1989 -9999.0 CL SA Nuble PAC
10000 130.48 33.32 2315.0 3.591 51.0 1950 2000 2.0 JP AS Chikugo PAC
10000 47.73 -21.00 2260.0 3.570 14.6 1956 1981 -9999.0 MG AF Mananjary IND
10000 -14.37 65.50 2800.0 3.750 53.3 1949 2002 13.0 IS EU Lagarfljot ATL
10000 68.67 67.27 10600.0 3.474 18.7 1944 1990 -9999.0 RU AS Shuch'ya ARC
10000 26.20 41.80 20857.0 3.468 49.0 1936 1985 -9999.0 BG EU Maritza (Meric,
10000 -99.63 16.93 7067.0 3.402 4.0 1976 1979 134.0 MX NA Papagayo PAC
10000 -70.40 -33.58 4968.0 3.375 42.4 1946 1989 -9999.0 CL SA Maipo PAC
10000 -44.77 -4.22 25500.0 3.377 23.6 1975 1999 9.0 BR SA Mearim ATL
10000 49.25 -18.18 2545.0 3.367 30.9 1953 1983 -9999.0 MG AF Ivondro IND
10000 -45.22 -3.77 20700.0 3.353 27.6 1970 1999 9.0 BR SA Grajau ATL
10000 35.33 68.45 8640.0 3.307 31.6 1959 1992 -9999.0 RU EU Voroniya ARC
10000 1.58 6.91 21475.0 3.470 37.0 1944 1992 42.0 BJ AF Mono ATL
10000 32.73 -25.02 37600.0 3.351 3.9 1976 1979 14.0 MZ AF Incomati (Komat
10000 -77.96 58.50 11200.0 3.254 8.3 1975 1984 -9999.0 CA NA Innuksuac (Innu
10000 -36.89 -5.62 37600.0 3.204 14.7 1985 1999 65.0 BR SA Piranhas (Acu)
10000 -40.35 -17.83 14174.0 3.161 56.8 1943 1999 -9999.0 BR SA Mucuri ATL
10000 -52.80 -2.22 10000.0 3.171 3.3 1981 1984 -9999.0 BR SA Jarauacu ATL
10000 -92.15 14.68 1139.0 3.138 25.0 1955 1981 90.0 MX NA Suchiate PAC
10000 31.39 -29.14 28920.0 2.798 50.7 1950 2001 7.0 ZA AF Tugela IND
10000 27.40 37.76 23889.0 3.110 7.8 1976 1983 8.0 TR AM Bueyuek Mendere
10000 45.98 -21.32 6510.0 3.104 17.0 1952 1969 -9999.0 MG AF Mananantanana IND
10000 108.72 -7.46 2515.0 3.063 35.0 1957 1991 -9999.0 ID AS Citanduy IND
10000 -41.16 -19.49 8810.0 3.052 56.9 1938 1998 -9999.0 BR SA Manhuacu ATL
10000 -69.82 19.15 5115.0 3.035 8.5 1976 1984 8.0 DO CB Yuna ATL
10000 32.43 -26.78 28500.0 3.066 3.9 1976 1979 11.0 MZ AF Maputo IND
10000 -52.65 -31.90 5370.0 3.014 20.1 1961 1983 15.0 BR SA Piratini ATL
10000 -81.63 8.07 1070.0 3.006 20.0 1965 1984 15.0 PA CA Tabasará PAC
10000 -51.15 -29.76 3131.0 2.987 20.0 1973 1998 -0.5 BR SA Sinos [dos]
10000 51.13 67.03 8500.0 2.969 69.7 1928 1998 8.0 RU EU Sula ARC
10000 10.42 63.33 3079.0 2.891 5.0 1965 1969 -9999.0 NO EU Nidelv N1
10000 -51.37 -3.62 2682.0 2.926 1.7 1981 1983 -9999.0 BR SA Anapu ATL
10000 -41.62 -21.49 7270.0 2.881 42.8 1954 1999 28.0 BR SA Muriae ATL
10000 -9.06 53.27 3114.0 2.882 7.0 1973 1979 -9999.0 IE EU Corrib ATL
10000 10.54 43.68 8186.0 2.882 67.3 1924 1998 6.7 IT EU Arno MED
10000 28.60 59.38 12800.0 2.827 41.7 1944 1985 0.0 RU EU Luga ATL
10000 -5.24 34.59 6190.0 2.838 37.3 1951 1990 85.0 MA AF Ouergha ATL
10000 177.13 -39.06 2360.0 2.786 9.8 1957 1966 -9999.0 NZ PO Mohaka PAC
10000 -81.38 29.01 7941.0 2.773 67.3 1933 2000 0.0 US NA St Johns
10000 -41.92 -18.53 11191.0 2.778 37.0 1938 1975 -9999.0 BR SA Suacui Grande
10000 -80.98 8.24 1505.0 2.753 19.9 1965 1984 55.0 PA CA Santa María
10000 -1.08 52.95 7486.0 2.759 16.5 1965 1999 16.0 UK EU Trent ATL
10000 -84.92 53.80 10400.0 2.722 25.1 1967 1993 -9999.0 CA NA Ekwan ATL
10000 7.25 52.73 8345.0 2.692 7.0 1980 1986 7.0 DE EU Ems ATL
10000 -8.17 54.50 4375.0 2.697 6.0 1973 1979 -9999.0 IE EU Erne ATL
10000 21.07 54.64 13600.0 2.689 70.0 1901 1985 5.0 RU EU Pregolya ATL
10000 118.18 25.05 2466.0 2.641 29.0 1951 1979 -9999.0 CN AS Jinjiang PAC
10000 -104.14 67.70 16900.0 2.645 30.5 1971 2004 -9999.0 CA NA Ellice ARC
10000 -2.16 55.72 4390.0 2.599 9.0 1980 1999 4.3 UK EU Tweed ATL
10000 -90.44 64.29 11000.0 2.579 11.8 1978 1992 -9999.0 CA NA Lorillard ATL
10000 -105.15 21.97 25800.0 2.573 7.0 1976 1982 54.0 MX NA San Pedro
10000 -95.05 62.47 12400.0 2.569 12.2 1979 1993 -9999.0 CA NA Ferguson ATL
10000 126.30 39.75 3300.0 2.550 17.0 1965 1981 123.0 KP AS Taedong PAC
10000 -80.15 -4.30 6912.0 2.571 8.0 1977 1985 250.0 PE SA Chira (Catamayo
10000 49.67 30.50 12600.0 2.573 21.0 1955 1985 -9999.0 IR AS Zohreh IND
10000 -84.38 9.93 1638.0 2.541 14.7 1965 1979 267.0 CR CA Grande de
10000 34.14 66.79 6920.0 2.540 61.7 1930 1992 4.0 RU EU Umba ARC
10000 -123.88 47.45 683.8 2.523 77.7 1911 1994 56.3 US NA Quinault River
10000 -45.67 -2.94 3762.0 2.525 27.3 1972 1999 -9999.0 BR SA Turiacu ATL
10000 36.60 66.39 7940.0 2.504 57.6 1935 1992 8.0 RU EU Varzuga ARC
10000 -8.42 40.21 4929.0 2.489 40.9 1939 1980 20.0 PT EU Mondego ATL
10000 -40.95 -20.95 5166.0 2.446 30.8 1969 1999 40.0 BR SA Itapemirim ATL
10000 -0.31 51.41 9948.0 2.521 101.0 1900 2000 4.7 UK EU Thames (natural
10000 -46.59 -1.74 2631.0 2.432 22.3 1975 1999 -9999.0 BR SA Piria ATL
10000 -98.27 16.70 2514.0 2.402 6.8 1976 1982 110.0 MX NA Santa Catalina
10000 169.83 -44.27 1090.0 2.400 41.9 1926 1968 -9999.0 NZ PO Ohau Lake
10000 39.70 67.98 6570.0 2.376 18.9 1935 1964 -9999.0 RU EU Yokanga ARC
10000 147.11 -41.46 8997.0 2.345 69.0 1902 1970 -9999.0 TX AU South Esk
10000 79.99 14.45 53290.0 2.345 14.0 1965 1979 -9999.0 IN AS Penner IND
10000 48.95 -18.73 1825.0 2.343 20.9 1948 1973 -9999.0 MG AF Vohitra IND
10000 136.18 36.10 1283.0 2.329 3.0 1958 1963 -9999.0 JP AS Hino PAC
10000 -2.68 51.80 4010.0 2.322 63.1 1936 1999 9.2 UK EU Wye ATL
10000 -133.61 58.20 585.0 2.302 17.6 1916 1975 42.7 AK NA Speel PAC
10000 138.55 35.20 3540.0 2.484 34.1 1962 2000 42.9 JP AS Fuji PAC
10000 132.50 34.45 1527.0 2.523 19.0 1978 2000 4.5 JP AS Ota PAC
10000 10.28 63.07 3080.0 2.271 5.9 1978 1983 -9999.0 NO EU Gaula (Gauldale
10000 -8.17 41.20 3180.0 2.243 32.0 1955 1987 40.0 PT EU Tamega ATL
10000 120.65 23.05 812.0 2.185 50.0 1951 2000 -9999.0 TW AS Kao-Ping PAC
10000 143.43 42.93 2715.0 2.297 11.0 1959 2000 -9999.0 JP AS Toshibetsu PAC
10000 126.18 38.98 2727.0 2.158 21.0 1964 1984 37.0 KP AS Nam-KP PAC
10000 -46.80 -2.77 4668.0 2.172 14.8 1985 1999 -9999.0 BR SA Uraim ATL
10000 134.08 34.67 1717.0 2.168 4.0 1959 1963 -9999.0 JP AS Yoshii PAC
10000 -3.14 57.55 2861.0 2.157 9.0 1980 1999 43.1 UK EU Spey ATL
10000 -49.11 -28.42 2740.0 2.155 59.4 1939 1999 15.0 BR SA Tubarao ATL
10000 24.83 57.17 8510.0 2.125 46.3 1939 1985 11.0 LV EU Gauya ATL
10000 -50.92 1.40 2500.0 2.105 2.8 1997 1999 -9999.0 BR SA Tartarugal Gran
10000 38.70 -6.68 15190.0 2.088 18.3 1959 1978 15.0 TZ AF Ruvu IND
10000 168.95 -46.10 3465.0 2.052 33.0 1961 1993 -9999.0 NZ PO Mataura SOC
10000 21.97 56.98 8320.0 2.037 81.5 1900 1987 5.0 LV EU Venta ATL
10000 -71.57 19.77 6718.0 2.034 4.0 1976 1979 11.0 DO CB Yaque del
10000 10.23 0.37 1700.0 2.031 7.4 1966 1974 -9999.0 GA AF M'Bei ATL
10000 -39.30 -15.57 29138.0 2.439 41.3 1936 1979 50.0 BR SA Pardo ATL
10000 23.63 69.42 5693.0 1.999 6.0 1978 1983 -9999.0 NO EU Altaelv ARC
10000 -48.85 -27.27 1964.0 2.009 16.2 1983 1999 14.0 BR SA Tijucas ATL
10000 178.28 -17.81 790.0 1.997 2.2 1978 1980 -9999.0 FJ PO Wainimala PAC
10000 -82.83 8.53 788.0 1.990 19.4 1965 1984 85.0 PA CA Chiriquí Viejo
10000 175.81 -39.81 2787.0 1.987 25.0 1970 1994 -9999.0 NZ PO Rangitikei PAC
10000 95.30 19.36 7782.0 1.966 11.8 1952 1969 -9999.0 MM AS Balu IND
10000 -80.16 33.45 38073.0 1.974 52.4 1942 1995 7.0 US NA Santee ATL
10000 -2.32 52.38 4325.0 1.945 78.8 1921 1999 17.0 UK EU Severn ATL
10000 80.20 6.18 681.0 1.947 62.2 1927 1989 -9999.0 LK AS Gin Ganga
10000 -45.96 -2.05 2500.0 1.933 27.2 1972 1999 -9999.0 BR SA Maracacume ATL
10000 13.52 56.49 5480.0 1.907 66.0 1910 1975 -9999.0 SE EU Lagan ATL
10000 46.38 -25.03 12435.0 1.914 22.0 1951 1973 -9999.0 MG AF Mandrare (Manda
10000 178.10 -18.19 963.0 1.896 2.8 1978 1980 -9999.0 FJ PO Navua PAC
10000 123.24 41.46 7919.0 1.874 42.8 1935 1979 -9999.0 CN AS Hunhe PAC
10000 1.10 45.20 3125.0 1.891 3.0 1978 1980 -9999.0 FR EU Vezere ATL
10000 101.45 3.40 1450.0 1.819 39.8 1960 2000 10.0 MY AS Selangor IND
10000 -96.37 19.37 2234.0 1.820 31.0 1951 1981 80.0 MX NA Antigua ATL
10000 -41.31 -21.22 3781.0 1.807 30.2 1969 1999 15.0 BR SA Itabapoana ATL
10000 -8.05 52.15 1440.0 1.814 6.0 1973 1979 7.0 IE EU Blackwater ATL
10000 -5.43 34.28 17250.0 1.803 29.4 1959 1989 70.0 MA AF Sebou ATL
10000 -97.04 20.06 1467.0 1.782 4.0 1976 1979 153.0 MX NA Nautla (Bobos)
10000 24.05 56.42 9390.0 1.782 64.8 1920 1985 4.0 LV EU Lielupe ATL
10000 95.19 21.16 2577.0 1.774 9.3 1950 1969 -9999.0 MM AS Paulaung IND
10000 127.57 35.18 4480.0 1.768 4.0 1976 1979 8.0 KR AS Somjin PAC
10000 -40.34 -3.69 11160.0 1.684 65.8 1911 1999 75.0 BR SA Acarau ATL
10000 -53.99 -30.23 2968.0 1.714 28.0 1969 1999 78.8 BR SA Vacacai ATL
10000 -57.00 -35.00 30000.0 1.710 7.8 1968 1975 -9999.0 AR SA Salado-AR ATL
10000 142.60 51.13 3420.0 1.727 49.7 1937 1987 52.0 RU AS Tym PAC
10000 176.99 -38.01 1557.0 1.692 21.0 1973 1993 -9999.0 NZ PO Whakatane PAC
10000 175.93 -39.00 780.0 1.691 12.0 1957 1968 -9999.0 NZ PO Tongariro PAC
10000 -81.25 8.20 697.0 1.667 12.0 1973 1984 40.0 PA CA San Pablo
10000 -47.58 -24.31 1713.0 1.676 35.3 1962 1998 15.0 BR SA São Lourenço
10000 126.45 40.67 2192.0 1.634 21.0 1964 1984 372.0 KP AS Zangza PAC
10000 -106.95 24.49 8919.0 1.631 7.0 1976 1982 18.0 MX NA San Lorenzo
10000 21.38 39.18 1349.0 1.636 30.0 1965 1995 -9999.0 GR EU Acheloos MED
10000 -9.15 54.10 2131.0 1.617 6.0 1973 1979 3.0 IE EU Moy ATL
10000 -123.47 41.37 1945.1 1.609 67.0 1911 1992 147.2 US NA Salmon River
10000 -76.15 -13.00 4900.0 1.621 27.0 1934 1960 250.0 PE SA Cañete PAC
10000 148.36 -37.66 13421.0 1.566 66.3 1922 2002 14.3 VX AU Snowy SOC
10000 21.80 40.08 5005.0 1.581 26.0 1962 1988 -9999.0 GR EU Aliakmon MED
10000 133.00 33.23 942.0 1.542 32.0 1965 1996 -9999.0 JP AS Watari (Shimant
10000 -38.44 -5.12 17900.0 1.536 34.9 1961 1996 50.0 BR SA Banabuiu ATL
10000 123.77 41.32 4324.0 1.519 33.0 1955 1987 -9999.0 CN AS Taizi PAC
10000 44.78 -20.40 4650.0 1.537 14.8 1951 1984 -9999.0 MG AF Morondava IND
10000 154.50 69.17 29000.0 1.510 17.3 1968 1993 -9999.0 RU AS Alazeya ARC
10000 -51.80 0.18 4268.0 1.517 9.1 1982 1991 -9999.0 BR SA Maraca Pucu
10000 -50.08 -29.77 1718.0 1.513 18.4 1981 1999 2.0 BR SA Joao Pedro
10000 24.77 58.47 5165.0 1.506 64.3 1921 1985 5.0 EE EU Pyarnu (Pärnu)
10000 -133.11 57.17 391.0 1.491 16.7 1977 1994 7.6 AK NA Farragut PAC
10000 -68.50 -43.85 16400.0 1.490 57.8 1943 2000 275.0 AR SA Chubut ATL
10000 145.75 -42.24 757.0 1.508 41.8 1953 1995 -9999.0 TX AU Franklin SOC
10000 -77.52 38.32 4118.1 1.487 85.5 1910 1995 16.8 US NA Rappahannock Ri
10000 121.37 41.18 17687.0 1.473 19.5 1960 1979 -9999.0 CN AS Dalinghe PAC
10000 -148.76 69.09 5719.0 1.471 8.1 1970 1978 304.8 AK NA Sagavanirktok ARC
10000 135.88 34.75 1455.0 1.468 5.0 1991 1995 34.9 JP AS Kizu PAC
10000 110.23 -7.74 2008.0 1.451 13.0 1973 1985 41.0 ID AS Progo (Kali
10000 -106.60 23.95 6166.0 1.436 6.0 1976 1981 100.0 MX NA Piaxtla PAC
10000 -97.47 20.54 1600.0 1.415 4.0 1976 1979 50.0 MX NA Cazones ATL
10000 80.87 6.34 1589.0 1.418 25.0 1943 1967 -9999.0 LK AS Walawe IND
10000 128.30 35.31 2984.0 1.408 34.0 1960 1993 -9999.0 KR AS Nam-KR PAC
10000 21.85 63.13 4805.0 1.370 91.0 1911 2001 -9999.0 FI EU Kyrön ATL
10000 26.72 56.90 6510.0 1.410 62.3 1923 1985 88.0 LV EU Aiviekste ATL
10000 145.93 -43.15 686.0 1.402 38.3 1964 2002 -9999.0 TX AU Davey SOC
10000 -1.94 54.95 2176.0 1.436 46.1 1956 2002 14.0 UK EU Tyne ATL
10000 25.40 65.20 3845.0 1.400 74.5 1911 2001 -9999.0 FI EU Kiiminki ATL
10000 -97.67 20.92 4341.0 1.506 2.8 1976 1979 20.0 MX NA Tuxpan ATL
10000 -41.86 -21.64 3118.0 1.383 68.0 1931 1999 50.0 BR SA Dois Rios
10000 33.08 68.85 3780.0 1.376 65.0 1928 1992 23.0 RU EU Kola ARC
10000 6.90 43.75 1827.0 1.370 3.0 1978 1980 -9999.0 FR EU Var MED
10000 126.72 35.03 2000.0 1.352 4.0 1976 1979 2.0 KR AS Yeong San
10000 -85.95 13.50 5510.0 1.059 25.6 1958 1995 -9999.0 NI CA Coco ATL
10000 174.15 68.53 6810.0 1.331 22.5 1971 1995 -9999.0 RU AS Palyavaam ARC
10000 130.57 32.92 907.0 1.327 11.8 1959 2000 -9999.0 JP AS Kikuchi PAC
10000 -91.04 18.18 9628.0 1.312 4.0 1976 1979 42.0 MX NA Candelaria ATL
10000 -39.12 -13.60 2830.0 1.311 41.0 1957 1999 6.0 BR SA Almas [das]
10000 -108.02 25.90 8179.0 1.294 35.9 1942 1983 120.0 MX NA Sinaloa PAC
10000 99.61 7.55 1801.0 1.284 16.8 1967 1984 -9999.0 TH AS Trang PAC
10000 130.75 32.66 519.0 1.281 5.0 1962 1996 -9999.0 JP AS Midori PAC
10000 -0.65 39.12 17876.0 1.283 18.1 1965 1984 45.0 ES EU Jucar MED
10000 -46.87 -1.25 1315.0 1.274 7.2 1964 1971 -9999.0 BR SA Caete ATL
10000 147.23 -36.41 4716.0 1.260 64.9 1934 1999 222.1 VX AU Mitta Mitta
10000 24.48 41.28 4393.0 1.254 31.0 1965 1996 -9999.0 GR EU Nestos (Mesta)
10000 24.87 64.76 4395.0 1.230 53.0 1936 1990 -9999.0 FI EU Siika ATL
10000 -148.96 70.28 8107.0 1.268 29.0 1971 2001 0.0 AK NA Kuparuk ARC
10000 -41.46 -19.59 3230.0 1.226 22.3 1976 1998 -9999.0 BR SA Jose Pedro
10000 -4.20 51.86 1090.0 1.225 41.2 1958 1999 7.8 UK EU Tywi ATL
10000 130.80 32.22 521.0 1.216 7.9 1959 1996 -9999.0 JP AS Kawabe PAC
10000 -71.68 43.75 1611.0 1.218 92.6 1903 1996 139.3 US NA Pemigewasset Ri
10000 -39.46 -14.33 6570.0 1.216 49.1 1947 1999 76.0 BR SA Gongogi ATL
10000 -103.63 18.80 6835.0 1.203 7.0 1976 1982 25.0 MX NA Coahuayana PAC
10000 176.42 -39.53 1030.0 1.204 24.9 1960 1988 -9999.0 NZ PO Ngaruroro PAC
10000 -139.57 69.32 5710.0 1.197 23.5 1972 2001 -9999.0 CA NA Firth ARC
10000 100.67 5.20 689.0 1.190 10.3 1961 1972 10.0 MY AS Krian IND
10000 -88.41 13.28 2238.0 1.176 12.0 1969 1981 7.0 SV CA Grande de
10000 103.75 1.78 1130.0 1.169 36.7 1963 1999 10.0 MY AS Johor IND
10000 -52.90 -31.87 2371.0 1.158 7.3 1965 1976 37.0 BR SA Basilio [Arr]
10000 120.80 24.30 599.0 1.158 21.0 1973 1993 -9999.0 TW AS Ta-An PAC
10000 -51.74 0.41 1220.0 1.157 6.7 1989 1996 -9999.0 BR SA Vila Nova
