m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
11522 -70.75 48.25 73000.0 45.981 80.3 1913 1993 100.0 CA NA Saguenay ATL
17586 -88.25 30.75 56894.0 29.624 76.5 1930 2006 0.1 US NA Alabama ATL
10000 -132.25 56.75 51593.0 50.220 47.3 1954 2006 7.6 AK NA Stikine PAC
16897 -78.25 52.25 44300.0 28.659 42.0 1959 2001 35.0 CA NA Eastmain ATL
22857 86.75 20.75 50000.0 21.283 1.0 1971 1971 -9999.0 IN AS Brahmani IND
10000 35.25 47.25 463000.0 46.822 33.0 1952 1984 -9999.0 UA EU Dnepr MED
10444 116.75 36.75 734146.0 44.924 52.3 1934 2000 -9999.0 CN AS Huanghe PAC
12703 -56.25 -5.25 40400.0 37.088 2.5 1986 1992 -9999.0 BR SA Jamanxim ATL
14839 -76.25 39.25 62419.0 30.392 106.8 1900 2006 88.4 US NA Susquehanna ATL
10952 113.75 22.75 38363.0 42.126 34.7 1953 1987 -9999.0 CN AS Beijiang PAC
17308 39.25 47.25 378000.0 24.447 92.9 1900 1995 58.0 RU EU Don MED
10000 -150.25 61.75 50246.0 44.681 52.5 1949 2006 12.2 AK NA Susitna PAC
11282 73.25 21.75 89345.0 38.381 26.0 1949 1979 -9999.0 IN AS Narmada IND
18636 -68.75 -50.25 15550.0 22.011 37.6 1955 1994 206.0 AR SA Santa Cruz
14286 -51.75 3.75 25100.0 26.381 42.8 1953 1996 103.0 GF SA Oyapock (Oiapoq
16667 -66.25 58.75 35200.0 23.462 15.8 1962 1979 104.0 CA NA George ATL
15385 39.25 -7.75 158200.0 25.738 16.6 1954 1978 64.0 TZ AF Rufiji IND
10000 31.25 31.25 2900000.0 39.571 12.0 1973 1984 20.0 EG AF Nile MED
11818 -79.25 51.25 57500.0 32.542 22.0 1960 1982 243.0 CA NA Nottaway ATL
10882 0.25 5.75 394100.0 33.918 47.3 1936 1984 5.0 GH AF Volta ATL
17619 -123.25 45.25 18855.0 21.004 91.0 1909 2006 32.4 US NA Willamette PAC
12414 -130.25 54.25 42200.0 28.536 72.8 1928 2006 100.0 CA NA Skeena PAC
18947 -0.75 44.75 52000.0 19.264 58.3 1920 1979 17.0 FR EU Garonne ATL
12857 -91.75 31.25 174824.0 27.662 78.0 1928 2006 13.5 US NA Red ATL
19444 103.25 3.25 19000.0 16.895 31.7 1963 2000 31.0 MY AS Pahang IND
13600 -80.75 51.75 61100.0 23.795 45.3 1959 2005 29.0 CA NA Moose ATL
11724 100.25 13.75 118816.0 23.273 86.5 1912 2000 -9999.0 TH AS Chao Phraya
10000 -59.25 6.75 53400.0 35.671 10.0 1973 1987 12.0 GY SA Cuyuni ATL
10303 18.75 54.25 194000.0 32.871 94.0 1900 1994 -9999.0 PL EU Vistula (Wisla)
10000 -144.75 60.25 53354.0 36.212 41.7 1950 2006 121.9 AK NA Copper PAC
12593 -66.25 45.25 39900.0 35.739 76.6 1918 1995 6.0 CA NA Saint John
10625 122.25 72.75 198000.0 34.446 49.0 1951 1999 -9999.0 RU AS Olenek ARC
12222 -78.75 51.75 40900.0 26.529 37.5 1963 2001 211.0 CA NA Rupert ATL
17368 31.25 60.75 61275.0 18.720 102.0 1900 2001 72.0 FI EU Vuoksi ATL
11379 162.75 56.25 51600.0 29.165 47.3 1937 1985 7.0 RU AS Kamchatka PAC
